epoch,batch,loss,accuracy,precision,recall,f1_score,timestamp
1,59,2.169695,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:26 2024
1,60,2.168896,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:26 2024
1,61,2.152664,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:27 2024
1,62,2.137361,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:27 2024
1,63,2.120524,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:27 2024
1,64,2.129436,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:27 2024
1,65,2.131775,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:28 2024
1,66,2.143562,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:28 2024
1,67,2.123244,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:28 2024
1,68,2.124312,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:29 2024
1,69,2.119379,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:29 2024
1,70,2.119010,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:29 2024
1,71,2.082621,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:29 2024
1,-1,2.090569,0.608000,0.608000,0.608000,0.608000,Thu Oct 24 01:30:30 2024
2,1,2.116657,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:30 2024
2,2,2.096167,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:31 2024
2,3,2.096067,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:31 2024
2,4,2.085026,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:31 2024
2,5,2.093623,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:31 2024
2,6,2.105318,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:32 2024
2,7,2.085482,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:32 2024
2,8,2.075643,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:32 2024
2,9,2.050349,0.000000,0.000000,0.000000,0.000000,Thu Oct 24 01:30:33 2024
